2025-07-15 01:33:32,381 | DEBUG | urllib3.connectionpool | Starting new HTTPS connection (1): minotar.net:443
2025-07-15 01:33:32,602 | DEBUG | urllib3.connectionpool | https://minotar.net:443 "GET /avatar/None/40 HTTP/1.1" 200 345
2025-07-15 01:33:32,734 | DEBUG | charset_normalizer | Encoding detection: Unable to determine any suitable charset.
2025-07-15 01:33:32,802 | DEBUG | urllib3.connectionpool | Starting new HTTPS connection (1): launchermeta.mojang.com:443
2025-07-15 01:33:33,125 | DEBUG | urllib3.connectionpool | https://launchermeta.mojang.com:443 "GET /mc/game/version_manifest.json HTTP/1.1" 200 None
2025-07-15 01:33:35,958 | DEBUG | urllib3.connectionpool | Starting new HTTPS connection (1): launchermeta.mojang.com:443
2025-07-15 01:33:36,597 | DEBUG | urllib3.connectionpool | https://launchermeta.mojang.com:443 "GET /mc/game/version_manifest.json HTTP/1.1" 200 None
2025-07-15 01:33:36,665 | DEBUG | urllib3.connectionpool | Starting new HTTPS connection (1): piston-meta.mojang.com:443
2025-07-15 01:33:37,014 | DEBUG | urllib3.connectionpool | https://piston-meta.mojang.com:443 "GET /v1/packages/5d22e5893fd9c565b9a3039f1fc842aef2c4aefc/1.21.7.json HTTP/1.1" 200 None
2025-07-15 01:35:34,423 | DEBUG | urllib3.connectionpool | Starting new HTTPS connection (1): minotar.net:443
2025-07-15 01:35:34,865 | DEBUG | urllib3.connectionpool | https://minotar.net:443 "GET /avatar/None/40 HTTP/1.1" 200 345
2025-07-15 01:35:34,981 | DEBUG | charset_normalizer | Encoding detection: Unable to determine any suitable charset.
2025-07-15 01:35:35,048 | DEBUG | urllib3.connectionpool | Starting new HTTPS connection (1): launchermeta.mojang.com:443
2025-07-15 01:35:35,369 | DEBUG | urllib3.connectionpool | https://launchermeta.mojang.com:443 "GET /mc/game/version_manifest.json HTTP/1.1" 200 None
2025-07-15 01:35:38,272 | DEBUG | urllib3.connectionpool | Starting new HTTPS connection (1): piston-data.mojang.com:443
2025-07-15 01:35:38,609 | DEBUG | urllib3.connectionpool | https://piston-data.mojang.com:443 "GET /v1/objects/a2db1ea98c37b2d00c83f6867fb8bb581a593e07/client.jar HTTP/1.1" 200 29522178
2025-07-15 01:35:46,489 | DEBUG | urllib3.connectionpool | Starting new HTTPS connection (1): minotar.net:443
2025-07-15 01:35:46,695 | DEBUG | urllib3.connectionpool | https://minotar.net:443 "GET /avatar/None/40 HTTP/1.1" 200 345
2025-07-15 01:35:46,821 | DEBUG | charset_normalizer | Encoding detection: Unable to determine any suitable charset.
2025-07-15 01:35:46,884 | DEBUG | urllib3.connectionpool | Starting new HTTPS connection (1): launchermeta.mojang.com:443
2025-07-15 01:35:47,197 | DEBUG | urllib3.connectionpool | https://launchermeta.mojang.com:443 "GET /mc/game/version_manifest.json HTTP/1.1" 200 None
2025-07-15 01:36:49,304 | DEBUG | urllib3.connectionpool | Starting new HTTPS connection (1): minotar.net:443
2025-07-15 01:36:49,685 | DEBUG | urllib3.connectionpool | https://minotar.net:443 "GET /avatar/None/40 HTTP/1.1" 200 345
2025-07-15 01:36:49,828 | DEBUG | charset_normalizer | Encoding detection: Unable to determine any suitable charset.
2025-07-15 01:36:49,897 | DEBUG | urllib3.connectionpool | Starting new HTTPS connection (1): launchermeta.mojang.com:443
2025-07-15 01:36:50,311 | DEBUG | urllib3.connectionpool | https://launchermeta.mojang.com:443 "GET /mc/game/version_manifest.json HTTP/1.1" 200 None
2025-07-15 01:36:53,359 | DEBUG | urllib3.connectionpool | Starting new HTTPS connection (1): libraries.minecraft.net:443
2025-07-15 01:36:53,360 | DEBUG | urllib3.connectionpool | Starting new HTTPS connection (1): libraries.minecraft.net:443
2025-07-15 01:36:53,360 | DEBUG | urllib3.connectionpool | Starting new HTTPS connection (1): libraries.minecraft.net:443
2025-07-15 01:36:53,361 | DEBUG | urllib3.connectionpool | Starting new HTTPS connection (1): libraries.minecraft.net:443
2025-07-15 01:36:54,263 | DEBUG | urllib3.connectionpool | https://libraries.minecraft.net:443 "GET /com/github/oshi/oshi-core/6.6.5/oshi-core-6.6.5.jar HTTP/1.1" 200 991378
2025-07-15 01:36:54,377 | DEBUG | urllib3.connectionpool | https://libraries.minecraft.net:443 "GET /com/fasterxml/jackson/core/jackson-core/2.13.4/jackson-core-2.13.4.jar HTTP/1.1" 200 374895
2025-07-15 01:36:54,384 | DEBUG | urllib3.connectionpool | https://libraries.minecraft.net:443 "GET /com/fasterxml/jackson/core/jackson-databind/2.13.4.2/jackson-databind-2.13.4.2.jar HTTP/1.1" 200 1531681
2025-07-15 01:36:54,427 | DEBUG | urllib3.connectionpool | https://libraries.minecraft.net:443 "GET /com/fasterxml/jackson/core/jackson-annotations/2.13.4/jackson-annotations-2.13.4.jar HTTP/1.1" 200 75717
2025-07-15 01:36:54,613 | DEBUG | urllib3.connectionpool | Starting new HTTPS connection (1): libraries.minecraft.net:443
2025-07-15 01:36:54,978 | DEBUG | urllib3.connectionpool | https://libraries.minecraft.net:443 "GET /com/github/stephenc/jcip/jcip-annotations/1.0-1/jcip-annotations-1.0-1.jar HTTP/1.1" 200 4722
2025-07-15 01:36:54,984 | DEBUG | urllib3.connectionpool | Starting new HTTPS connection (1): libraries.minecraft.net:443
2025-07-15 01:36:55,127 | DEBUG | urllib3.connectionpool | Starting new HTTPS connection (1): libraries.minecraft.net:443
2025-07-15 01:36:55,382 | DEBUG | urllib3.connectionpool | https://libraries.minecraft.net:443 "GET /com/google/code/gson/gson/2.11.0/gson-2.11.0.jar HTTP/1.1" 200 298435
